city;country;lat;lon
Istanbul;Türkei;41,01;28,96027778
Moskau;Russland;55,75055556;37,6175
Sankt Petersburg;Russland;59,95;30,31666667
Berlin;Deutschland;52,51666667;13,38333333
Madrid;Spanien;40,41694444;-3,703333333
Kiew;Ukraine;50,45;30,52361111
Rom;Italien;41,89305556;12,48277778
Paris;Frankreich;48,85666667;2,352222222
Wien;Österreich;48,20833333;16,3725
Minsk;Belarus;53,902246;27,561837
Warschau;Polen;52,23;21,01111111
Hamburg;Deutschland;53,55;10
Bukarest;Rumänien;44,41336111;26,09777778
Barcelona;Spanien;41,3825;2,176944444
Budapest;Ungarn;47,49833333;19,04083333
München;Deutschland;48,1375;11,575
Charkiw;Ukraine;49,9925;36,23111111
Prag;Tschechin;50,0875;14,42138889
Mailand;Italien;45,46694444;9,19
Sofia;Bulgarien;42,697886;23,321726
Kasan;Russland;55,79083333;49,11444444
Nischni Nowgorod;Russland;56,32694444;44,0075
Belgrad;Serbien;44,81777778;20,45694444
Samara;Russland;53,18333333;50,11666667
Rostow am Don;Russland;47,2225;39,71
Ufa;Russland;54,72611111;55,9475
Woronesch;Russland;51,67166667;39,21055556
Perm;Russland;58,01388889;56,24888889
Köln;Deutschland;50,94222222;6,957777778
Odessa;Ukraine;46,47747;30,73262
Wolgograd;Russland;48,70861111;44,51472222
Dnipro;Ukraine;48,4675;35,04
Krasnodar;Russland;45,03333333;38,98333333
Amsterdam;Niederlande;52,36666667;4,883333333
Neapel;Italien;40,83583333;14,24861111
Donezk;Ukraine;48,01583333;37,80277778
Marseille;Frankreich;43,29666667;5,376388889
Turin;Italien;45,07916667;7,676111111
Saratow;Russland;51,53;46,035
Valencia;Spanien;39,47534441;-0,37565717
Zagreb;Kroatien;45,81305556;15,97722222
Frankfurt am Main;Deutschland;50,11055556;8,682222222
Lwiw (Lemberg);Ukraine;49,8425;24,03222222
Sevilla;Spanien;37,38277778;-5,973055556
Saragossa;Spanien;41,65645655;-0,87928652
Breslau;Polen;51,11;17,0325
Ischewsk;Russland;56,85;53,21666667
Lodz;Polen;51,75;19,46666667
Athen;Griechenland;37,98416667;23,72805556
Palermo;Italien;38,11565806;13,36126194
Uljanowsk;Russland;54,31666667;48,36666667
Stuttgart;Deutschland;48,7775;9,18
Leipzig;Deutschland;51,35;12,3833
Vilnius;Litauen;54,68722222;25,28
Machatschkala;Russland;42,9825;47,505
Krywyj Rih;Ukraine;47,91;33,39
Jaroslawl;Russland;57,62638889;39,89333333
Tirana;Albanien;41,32888889;19,81777778
Riga;Lettland;56,9475;24,10694444
Malaga;Spanien;36,72034267;-4,41997511
Bremen;Deutschland;53,07583333;8,807222222
Orenburg;Russland;51,76666667;55,1
Lissabon;Portugal;38,708042;-9,139016
Chisinau;Moldau;47,02277778;28,83527778
Dresden;Deutschland;51,0493286;13,7381437
Genua;Italien;44,40718611;8,933983333
Antwerpen;Belgien;51,22111111;4,399722222
Posen;Polen;52,40833333;16,93361111
Rjasan;Russland;54,63;39,7425
Nabereschnyje Tschelny;Russland;55,714852;52,3696525
Nürnberg;Deutschland;49,45388889;11,0775
Skopje;Nordmazedonien;41,99611111;21,43166667
Astrachan;Russland;46,35;48,035
Hannover;Deutschland;52,37444444;9,738611111
Kirow;Russland;58,6;49,65
Lyon;Frankreich;45,7675;4,835
Pensa;Russland;53,2;45
Toulouse;Frankreich;43,60444444;1,443333333
Lipezk;Russland;52,61666667;39,6
Homel;Belarus;52,44166667;30,98333333
