city,country
Istanbul,Türkei
Sankt Petersburg,Russland
Berlin,Deutschland
Madrid,Spanien
Kiew,Ukraine
Rom,Italien
Paris,Frankreich
Wien,Österreich
Minsk,Belarus
Warschau,Polen
Hamburg,Deutschland
Bukarest,Rumänien
Barcelona,Spanien
Budapest,Ungarn
München,Deutschland
Charkiw,Ukraine
Prag, Tschechin
Mailand,Italien
Sofia,Bulgarien
Kasan,Russland
Nischni Nowgorod,Russland
Belgrad,Serbien
Rostow am Don,Russland
Ufa,Russland
Woronesch,Russland
Perm,Russland
Odessa,Ukraine
Wolgograd,Russland
Stockholm,Schweden
Krasnodar,Russland
Neapel,Italien
Donezk,Ukraine
Marseille,Frankreich
Turin,Italien
Saratow,Russland
Valencia,Spanien
Krakau,Polen
Zagreb,Kroatien
Frankfurt am Main,Deutschland
Oslo,Norwegen
Lwiw (Lemberg),Ukraine
Sevilla,Spanien
Saragossa,Spanien
Helsinki,Finnland
Breslau,Polen
Kopenhagen,Dänemark
Ischewsk,Russland
Lodz,Polen
Athen,Griechenland
Palermo,Italien
Uljanowsk,Russland
Stuttgart,Deutschland
Leipzig,Deutschland
Göteborg,Schweden
Vilnius,Litauen
Machatschkala,Russland
Krywyj Rih,Ukraine
Jaroslawl,Russland
Tirana,Albanien
Riga,Lettland
Malaga,Spanien
Bremen,Deutschland
Orenburg,Russland
Lissabon,Portugal
Chisinau,Moldau
Dresden,Deutschland
Genua,Italien
Antwerpen,Belgien
Posen,Polen
Rjasan,Russland
Nabereschnyje Tschelny,Russland
Nürnberg,Deutschland
Skopje,Nordmazedonien
Astrachan,Russland
Hannover,Deutschland
Kirow,Russland
Lyon,Frankreich
Pensa,Russland
Toulouse,Frankreich
Lipezk,Russland
Homel,Belarus
