city_a,city_b,status,distance_km,error_msg
Istanbul,Moskau,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Sankt Petersburg,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Berlin,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Madrid,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Kiew,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Rom,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Paris,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Wien,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Minsk,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Warschau,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Hamburg,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Bukarest,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Barcelona,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Budapest,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,München,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Charkiw,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Prag,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Mailand,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Sofia,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Kasan,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Nischni Nowgorod,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Belgrad,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Samara,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Rostow am Don,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Ufa,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Woronesch,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Perm,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Köln,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Odessa,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Wolgograd,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Dnipro,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Krasnodar,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Amsterdam,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Neapel,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Donezk,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Marseille,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Turin,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Saratow,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Valencia,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Krakau,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Zagreb,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Frankfurt am Main,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Lwiw (Lemberg),error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Sevilla,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Saragossa,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Breslau,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Ischewsk,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Lodz,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Athen,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Palermo,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Uljanowsk,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Stuttgart,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Leipzig,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Vilnius,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Machatschkala,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Krywyj Rih,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Jaroslawl,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Tirana,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Riga,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Malaga,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Bremen,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Orenburg,cached,3530.3008999999997,
Istanbul,Lissabon,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Chisinau,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Dresden,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Genua,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Antwerpen,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Posen,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Rjasan,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Nabereschnyje Tschelny,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Nürnberg,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Skopje,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Astrachan,cached,2795.8296,
Istanbul,Hannover,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Kirow,cached,4472.807400000001,
Istanbul,Lyon,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Pensa,cached,2814.5348,
Istanbul,Toulouse,error_api_key,,ORS_API_KEY nicht gesetzt
Istanbul,Lipezk,cached,2343.9461,
Istanbul,Homel,cached,3054.2338999999997,
Moskau,Sankt Petersburg,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Berlin,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Madrid,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Kiew,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Rom,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Paris,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Wien,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Minsk,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Warschau,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Hamburg,cached,2103.3934,
Moskau,Bukarest,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Barcelona,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Budapest,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,München,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Charkiw,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Prag,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Mailand,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Sofia,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Kasan,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Nischni Nowgorod,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Belgrad,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Samara,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Rostow am Don,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Ufa,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Woronesch,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Perm,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Köln,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Odessa,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Wolgograd,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Dnipro,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Krasnodar,error_api_key,,ORS_API_KEY nicht gesetzt
Moskau,Amsterdam,error_api_key,,ORS_API_KEY nicht gesetzt
