k1,k2,distance_km
Athen|Griechenland,Breslau|Polen,2182.1848999999997
Athen|Griechenland,Kiew|Ukraine,2154.0701
Kiew|Ukraine,Krasnodar|Russland,1308.744
Breslau|Polen,Krasnodar|Russland,2434.8305
Breslau|Polen,Kiew|Ukraine,1126.2845
Athen|Griechenland,Krasnodar|Russland,2937.8363
Jaroslawl|Russland,Malaga|Spanien,4885.5788
Ischewsk|Russland,Jaroslawl|Russland,1104.902
Ischewsk|Russland,Turin|Italien,4115.5432
Malaga|Spanien,Turin|Italien,1821.1532
Ischewsk|Russland,Malaga|Spanien,5838.2492999999995
Jaroslawl|Russland,Turin|Italien,3162.212
Krywyj Rih|Ukraine,Lwiw (Lemberg)|Ukraine,822.7382
Lwiw (Lemberg)|Ukraine,Rjasan|Russland,1546.6469
Perm|Russland,Rjasan|Russland,1405.9448
Krywyj Rih|Ukraine,Perm|Russland,2545.1295
Krywyj Rih|Ukraine,Rjasan|Russland,1192.0983
Lwiw (Lemberg)|Ukraine,Perm|Russland,2866.8097000000002
Prag|Tschechin,Riga|Lettland,1423.7523999999999
Donezk|Ukraine,Prag|Tschechin,2133.8523
Bukarest|Rumänien,Donezk|Ukraine,1261.2114
Bukarest|Rumänien,Riga|Lettland,2354.1814
Donezk|Ukraine,Riga|Lettland,1852.7404
Bukarest|Rumänien,Prag|Tschechin,1342.5316
Dnipro|Ukraine,Hannover|Deutschland,2084.7503
Dnipro|Ukraine,Lissabon|Portugal,4592.1982
Lissabon|Portugal,Skopje|Nordmazedonien,3572.4345
Hannover|Deutschland,Skopje|Nordmazedonien,1831.3535
Hannover|Deutschland,Lissabon|Portugal,2511.0879
Dnipro|Ukraine,Skopje|Nordmazedonien,1587.3562
Mailand|Italien,Saratow|Russland,3700.5247999999997
Bukarest|Rumänien,Saratow|Russland,2136.7551000000003
Bukarest|Rumänien,Minsk|Belarus,1469.9007
Mailand|Italien,Minsk|Belarus,2059.1144
Bukarest|Rumänien,Mailand|Italien,1771.7085
Minsk|Belarus,Saratow|Russland,1541.3145
Machatschkala|Russland,Zagreb|Kroatien,3228.7332
Genua|Italien,Machatschkala|Russland,4206.7413
Bukarest|Rumänien,Genua|Italien,1896.4237
Bukarest|Rumänien,Zagreb|Kroatien,1021.7989
Genua|Italien,Zagreb|Kroatien,780.0034
Bukarest|Rumänien,Machatschkala|Russland,2386.166
Lwiw (Lemberg)|Ukraine,Uljanowsk|Russland,2226.0615
Uljanowsk|Russland,Valencia|Spanien,4874.3792
Astrachan|Russland,Valencia|Spanien,5082.9335
Astrachan|Russland,Lwiw (Lemberg)|Ukraine,2179.153
Lwiw (Lemberg)|Ukraine,Valencia|Spanien,2915.0263999999997
Astrachan|Russland,Uljanowsk|Russland,1259.147
Lyon|Frankreich,Woronesch|Russland,3346.4335
Dresden|Deutschland,Woronesch|Russland,2202.9907000000003
Dresden|Deutschland,Krywyj Rih|Ukraine,1678.0456000000001
Krywyj Rih|Ukraine,Lyon|Frankreich,2763.067
Dresden|Deutschland,Lyon|Frankreich,1100.9545
Krywyj Rih|Ukraine,Woronesch|Russland,810.2301
Bremen|Deutschland,Stuttgart|Deutschland,639.0146
Bremen|Deutschland,Krasnodar|Russland,3006.8633
Krasnodar|Russland,Paris|Frankreich,3668.0827999999997
Paris|Frankreich,Stuttgart|Deutschland,650.1
Krasnodar|Russland,Stuttgart|Deutschland,3175.9407
Bremen|Deutschland,Paris|Frankreich,796.3285999999999
Dresden|Deutschland,Moskau|Russland,1874.6935
Hamburg|Deutschland,Moskau|Russland,2103.3934
Hamburg|Deutschland,Ischewsk|Russland,3329.3704
Dresden|Deutschland,Ischewsk|Russland,3097.9788
Dresden|Deutschland,Hamburg|Deutschland,496.3292
Ischewsk|Russland,Moskau|Russland,1181.0602
Homel|Belarus,Kirow|Russland,1646.3038000000001
Istanbul|Türkei,Kirow|Russland,4472.807400000001
Astrachan|Russland,Istanbul|Türkei,2795.8296
Astrachan|Russland,Homel|Belarus,1730.9936
Homel|Belarus,Istanbul|Türkei,3054.2338999999997
Astrachan|Russland,Kirow|Russland,1803.43
Tirana|Albanien,Zagreb|Kroatien,1063.5229
Stockholm|Schweden,Zagreb|Kroatien,2253.3649
Lodz|Polen,Stuttgart|Deutschland,994.4894
Kiew|Ukraine,Stuttgart|Deutschland,1869.5707
Krasnodar|Russland,Lodz|Polen,2216.921
Kiew|Ukraine,Lodz|Polen,908.7148000000001
Bremen|Deutschland,Chisinau|Moldau,1870.172
Bremen|Deutschland,Palermo|Italien,2577.9195
Palermo|Italien,Turin|Italien,1590.283
Chisinau|Moldau,Turin|Italien,2166.2072000000003
Chisinau|Moldau,Palermo|Italien,3189.8666000000003
Bremen|Deutschland,Turin|Italien,1229.028
Malaga|Spanien,Sevilla|Spanien,206.65779999999998
Astrachan|Russland,Sevilla|Spanien,5729.749400000001
Astrachan|Russland,Perm|Russland,1793.2368000000001
Malaga|Spanien,Perm|Russland,6128.3421
Astrachan|Russland,Malaga|Spanien,5693.8348
Perm|Russland,Sevilla|Spanien,6081.174400000001
Lissabon|Portugal,Prag|Tschechin,2701.5242000000003
Bukarest|Rumänien,Lissabon|Portugal,3894.4165
Donezk|Ukraine,Lissabon|Portugal,4836.1102
Dnipro|Ukraine,Toulouse|Frankreich,3432.0957000000003
Antwerpen|Belgien,Dnipro|Ukraine,2533.3862999999997
Antwerpen|Belgien,Lyon|Frankreich,767.8288
Lyon|Frankreich,Toulouse|Frankreich,545.8625999999999
Antwerpen|Belgien,Toulouse|Frankreich,1020.5790999999999
Dnipro|Ukraine,Lyon|Frankreich,2959.5833
Riga|Lettland,Zagreb|Kroatien,1756.1155
Nabereschnyje Tschelny|Russland,Riga|Lettland,1964.8526000000002
Bukarest|Rumänien,Nabereschnyje Tschelny|Russland,2884.383
Nabereschnyje Tschelny|Russland,Zagreb|Kroatien,3428.7996000000003
Sevilla|Spanien,Vilnius|Litauen,3821.1071
Valencia|Spanien,Vilnius|Litauen,3254.2324
Pensa|Russland,Valencia|Spanien,4634.004599999999
Pensa|Russland,Sevilla|Spanien,5206.374599999999
Sevilla|Spanien,Valencia|Spanien,654.8975
Pensa|Russland,Vilnius|Litauen,1541.4151000000002
Homel|Belarus,Woronesch|Russland,731.3629
Rjasan|Russland,Woronesch|Russland,389.4169
Malaga|Spanien,Rjasan|Russland,4810.6267
Homel|Belarus,Malaga|Spanien,4217.6022
Homel|Belarus,Rjasan|Russland,774.5501999999999
Malaga|Spanien,Woronesch|Russland,4951.170099999999
Dresden|Deutschland,Machatschkala|Russland,3263.2766
Dresden|Deutschland,Krasnodar|Russland,2687.3727999999996
Machatschkala|Russland,Paris|Frankreich,4236.1051
Krasnodar|Russland,Machatschkala|Russland,861.0376
