step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g,real_mean,real_std,real_min,real_max,real_near_zero_frac,real_near_one_frac,real_clip_frac,fake_d_mean,fake_d_std,fake_d_min,fake_d_max,fake_d_near_zero_frac,fake_d_near_one_frac,fake_g_mean,fake_g_std,fake_g_min,fake_g_max,fake_g_near_zero_frac,fake_g_near_one_frac
1,0.6970535516738892,21.687225341796875,1.8172535476423946e-08,3.811544413423462e-10,3.861010400285636e-10,0.07070338726043701,2.869673490524292,0.3931690752506256,0.21107007563114166,0.050466060638427734,1.0,0.0,0.02083333395421505,0.010416666666666666,0.5082810521125793,0.013448200188577175,0.48668184876441956,0.5335874557495117,0.0,0.0,0.5077646374702454,0.01358016487210989,0.4822711944580078,0.5327236652374268,0.0,0.0
2,10.162230491638184,967.4193725585938,4.091605817246148e-30,0.0,0.0,104.3198471069336,390.97784423828125,0.43663910031318665,0.23347154259681702,0.05403589829802513,1.0,0.0,0.02083333395421505,0.020833333333333332,0.5083288550376892,0.013398351147770882,0.48560741543769836,0.5326509475708008,0.0,0.0,0.5075430870056152,0.013437001034617424,0.4832668602466583,0.532258927822113,0.0,0.0
3,392.29473876953125,0.0,1.0,1.0,1.0,1937.2109375,0.0,0.43125173449516296,0.24102722108364105,0.029040740802884102,0.9115108847618103,0.03125,0.0,0.0,0.5079184174537659,0.013627855107188225,0.4800763428211212,0.5356236696243286,0.0,0.0,0.5071406960487366,0.013507395051419735,0.4835962653160095,0.5353653430938721,0.0,0.0
4,24996.298828125,0.0,1.0,1.0,1.0,8194.953125,0.0,0.4461117684841156,0.22630152106285095,0.05801970139145851,0.9966835379600525,0.0,0.02083333395421505,0.0,0.5071706771850586,0.013671571388840675,0.4836468994617462,0.5326696634292603,0.0,0.0,0.50697922706604,0.013537265360355377,0.48390302062034607,0.536185622215271,0.0,0.0
5,160.66595458984375,6285.53125,0.0,0.0,0.0,2348.10986328125,1317.763916015625,0.4856642484664917,0.2520163059234619,0.059128161519765854,1.0,0.0,0.0416666679084301,0.03125,0.5074141025543213,0.013647789135575294,0.4824548363685608,0.534505307674408,0.0,0.0,0.5061586499214172,0.013580798171460629,0.4846974313259125,0.5342131853103638,0.0,0.0
6,2953.29296875,0.0,1.0,1.0,1.0,3734.174560546875,0.0,0.4716115891933441,0.26861855387687683,0.0388973206281662,1.0,0.02083333395421505,0.0729166641831398,0.03125,0.5063833594322205,0.01353946328163147,0.4832178056240082,0.5320382118225098,0.0,0.0,0.5067270398139954,0.013741140253841877,0.4833664298057556,0.5330573320388794,0.0,0.0
7,55707.5703125,0.0,1.0,1.0,1.0,15618.4013671875,0.0,0.48052504658699036,0.24785307049751282,0.05579375848174095,1.0,0.0,0.0520833320915699,0.010416666666666666,0.5063406825065613,0.013665381819009781,0.48169782757759094,0.5323627591133118,0.0,0.0,0.5062646269798279,0.013700306415557861,0.484025776386261,0.5346257090568542,0.0,0.0
8,26405.46484375,0.0,1.0,1.0,1.0,9703.0966796875,0.0,0.4754956066608429,0.288169264793396,0.07082191854715347,1.0,0.0,0.0520833320915699,0.041666666666666664,0.5061293244361877,0.013470054604113102,0.48265963792800903,0.5313601493835449,0.0,0.0,0.5062485337257385,0.013785564340651035,0.4848287105560303,0.5341007709503174,0.0,0.0
9,2937.943115234375,2017.5123291015625,0.0,0.0,0.0,2929.238525390625,435.81402587890625,0.4344404637813568,0.25334233045578003,0.07093928009271622,1.0,0.0,0.0520833320915699,0.052083333333333336,0.5057302713394165,0.01347095612436533,0.48297786712646484,0.5297324061393738,0.0,0.0,0.5051496624946594,0.01331116259098053,0.4813178777694702,0.5301377177238464,0.0,0.0
10,818.3292846679688,563.5835571289062,0.0,0.0,0.0,996.7611083984375,108.57889556884766,0.37781259417533875,0.1940692514181137,0.04517294093966484,0.8786069750785828,0.010416666977107525,0.0,0.0,0.5054929256439209,0.0133711788803339,0.4835672974586487,0.5310508608818054,0.0,0.0,0.5050168633460999,0.013120867311954498,0.48341333866119385,0.5311325192451477,0.0,0.0
