step,loss_d,loss_d_real,loss_d_fake,loss_g,score_real,score_fake_d,real_logit_mean,fake_logit_mean,score_fake_g,grad_norm_d,grad_norm_g,real_mean,real_std,real_min,real_max,real_near_zero_frac,real_near_one_frac,real_clip_frac,fake_d_mean,fake_d_std,fake_d_min,fake_d_max,fake_d_near_zero_frac,fake_d_near_one_frac,fake_g_mean,fake_g_std,fake_g_min,fake_g_max,fake_g_near_zero_frac,fake_g_near_one_frac
1,0.69586181640625,0.7448300421237946,0.6468936502933502,0.743905246257782,0.47509221732616425,0.4753892719745636,-0.09971484541893005,-0.09852253645658493,0.4753340184688568,0.07154745236039162,0.00806301087141037,0.41384710371494293,0.2183287814259529,0.052598901093006134,1.0,0.0,0.031250000931322575,0.015625,0.5084888339042664,0.013480545952916145,0.48693007230758667,0.5347368121147156,0.0,0.0,0.5103799700737,0.01273693423718214,0.4873057007789612,0.5339694619178772,0.0,0.0
2,0.6932190954685211,0.7420380711555481,0.6444001197814941,0.7432475090026855,0.4770255386829376,0.47514840960502625,-0.09196564927697182,-0.0994885303080082,0.47563689947128296,0.05745430290699005,0.007206063251942396,0.4805346876382828,0.24383768439292908,0.04938412085175514,1.0,0.0052083334885537624,0.0625,0.03125,0.510014683008194,0.012661374639719725,0.487027645111084,0.5358591079711914,0.0,0.0,0.5112956166267395,0.012849065475165844,0.4873028099536896,0.5376942753791809,0.0,0.0
3,0.6916832327842712,0.7364983260631561,0.6468681693077087,0.7398025393486023,0.48048488795757294,0.47709548473358154,-0.07810302823781967,-0.09168219566345215,0.47725045680999756,0.07549020648002625,0.005488892551511526,0.436373233795166,0.24303002655506134,0.07005844078958035,1.0,0.0052083334885537624,0.026041667442768812,0.015625,0.5119577050209045,0.012886616867035627,0.48882393538951874,0.5370010733604431,0.0,0.0,0.5117650032043457,0.013008360750973225,0.48877808451652527,0.5344635844230652,0.0,0.0
4,0.6907694935798645,0.7323354184627533,0.6492035686969757,0.7399991750717163,0.48152416944503784,0.47747181355953217,-0.07393966987729073,-0.09017391875386238,0.47721952199935913,0.06342676281929016,0.01033824309706688,0.43042324483394623,0.23586048930883408,0.0690682390704751,1.0,0.0052083334885537624,0.010416666977107525,0.010416666666666666,0.5122103095054626,0.013299339450895786,0.48466959595680237,0.5359887480735779,0.0,0.0,0.5127273201942444,0.013699491508305073,0.4890234172344208,0.536665678024292,0.0,0.0
5,0.6887923777103424,0.7290047705173492,0.6485799551010132,0.7408274412155151,0.4832669496536255,0.4769502580165863,-0.06695903465151787,-0.0922643169760704,0.4767882227897644,0.07874412462115288,0.007645048201084137,0.4317884147167206,0.23505817353725433,0.02714322041720152,0.9906736612319946,0.015625000465661287,0.05208333348855376,0.036458333333333336,0.5129878520965576,0.013791906647384167,0.48943041265010834,0.5356884300708771,0.0,0.0,0.5116506814956665,0.015422128140926361,0.4858410954475403,0.5358843207359314,0.0,0.0
6,0.6868035197257996,0.7263717949390411,0.647235244512558,0.7409047484397888,0.48493310809135437,0.4764745682477951,-0.0602901391685009,-0.09417129680514336,0.47683185338974,0.07567672431468964,0.014604123309254646,0.4349268972873688,0.2700810059905052,0.0376624409109354,1.0,0.02083333395421505,0.06770833395421505,0.03645833333333333,0.5113285779953003,0.014665150549262762,0.48678797483444214,0.5327068567276001,0.0,0.0,0.5092616677284241,0.015296032652258873,0.4800366461277008,0.5326154828071594,0.0,0.0
7,0.686436116695404,0.7241547405719757,0.6487174928188324,0.7378616333007812,0.4863544851541519,0.477921724319458,-0.054600274190306664,-0.08837061375379562,0.4783538579940796,0.08331893756985664,0.01659381203353405,0.4569900631904602,0.24674741178750992,0.03948299027979374,1.0,0.0052083334885537624,0.05729166604578495,0.041666666666666664,0.5100322365760803,0.016223318874835968,0.47827447950839996,0.532975435256958,0.0,0.0,0.5076138973236084,0.01719207502901554,0.46692949533462524,0.533703625202179,0.0,0.0
8,0.683302104473114,0.7161817252635956,0.6504224836826324,0.7384840250015259,0.48969821631908417,0.4779323935508728,-0.041218746453523636,-0.08832783252000809,0.47806915640830994,0.09109747037291527,0.019407939165830612,0.42680953443050385,0.24438969790935516,0.031835200265049934,1.0,0.02083333395421505,0.036458333022892475,0.03125,0.5074820518493652,0.01697902102023363,0.47011226415634155,0.5315830111503601,0.0,0.0,0.5050796866416931,0.017099794000387192,0.4617261290550232,0.5287533402442932,0.0,0.0
9,0.6797721683979034,0.7102491855621338,0.6492951214313507,0.7449030876159668,0.49171264469623566,0.4759224057197571,-0.03315925411880016,-0.09638548269867897,0.47520288825035095,0.09960006177425385,0.02658173441886902,0.3998299837112427,0.2439531907439232,0.04747475031763315,1.0,0.02604166604578495,0.04166666604578495,0.036458333333333336,0.5048486292362213,0.017266493290662766,0.4611797481775284,0.5271905958652496,0.0,0.0,0.502119243144989,0.02075452171266079,0.441423624753952,0.5276110172271729,0.0,0.0
10,0.6822188198566437,0.7214830815792084,0.6429545283317566,0.7463824152946472,0.48706939816474915,0.4737556427717209,-0.051746830344200134,-0.10507397726178169,0.4744700789451599,0.09826023504137993,0.025558657944202423,0.45697933435440063,0.23683114349842072,0.031619319692254066,1.0,0.015625000465661287,0.036458333022892475,0.020833333333333332,0.5023260414600372,0.019288147799670696,0.4474400728940964,0.5263819098472595,0.0,0.0,0.4987810552120209,0.018830589950084686,0.44066447019577026,0.5242093205451965,0.0,0.0
11,0.6804739236831665,0.7165317237377167,0.6444161236286163,0.7426436543464661,0.49029727280139923,0.475678950548172,-0.038828419521450996,-0.09736105054616928,0.4762740135192871,0.09567840024828911,0.026615319773554802,0.4643331468105316,0.25904300063848495,0.040895989164710045,1.0,0.020833333488553762,0.03645833348855376,0.026041666666666664,0.49867768585681915,0.020779381506145,0.43972940742969513,0.5212670266628265,0.0,0.0,0.49472764134407043,0.021567968651652336,0.43042704463005066,0.5186098217964172,0.0,0.0
12,0.6768392622470856,0.7039543688297272,0.6497241258621216,0.7361483573913574,0.49747656285762787,0.47918054461479187,-0.010093893157318234,-0.0833260677754879,0.47955775260925293,0.11901780217885971,0.03367285430431366,0.4576667845249176,0.25088808685541153,0.0402410589158535,1.0,0.015625,0.052083334885537624,0.03125,0.4950981140136719,0.021551009267568588,0.434024915099144,0.5173441767692566,0.0,0.0,0.4915066659450531,0.022535167634487152,0.4291629493236542,0.515876829624176,0.0,0.0
13,0.6731693148612976,0.6934622526168823,0.6528763771057129,0.7412617206573486,0.5003846883773804,0.477915957570076,0.0015423428267240524,-0.08839436993002892,0.4771038293838501,0.11817903816699982,0.03322945535182953,0.4261026382446289,0.23923691362142563,0.029887421056628227,1.0,0.010416666977107525,0.031250000931322575,0.026041666666666664,0.4911728799343109,0.023643821477890015,0.4267665147781372,0.5170437097549438,0.0,0.0,0.48647430539131165,0.023664234206080437,0.41920042037963867,0.5156444311141968,0.0,0.0
14,0.6732203960418701,0.6979944407939911,0.6484463214874268,0.7424312233924866,0.4990890175104141,0.4765859693288803,-0.003648652695119381,-0.09372475743293762,0.47680699825286865,0.12646305561065674,0.040248434990644455,0.4384361654520035,0.2450505718588829,0.06130889989435673,1.0,0.0,0.0416666679084301,0.03125,0.4860883057117462,0.025667675770819187,0.41424818336963654,0.520453929901123,0.0,0.0,0.4815894067287445,0.02601684257388115,0.4078398644924164,0.5161193013191223,0.0,0.0
15,0.674221932888031,0.6995851397514343,0.6488587558269501,0.7336398959159851,0.5002179443836212,0.4789029061794281,0.0008789296261966228,-0.08443905785679817,0.48169949650764465,0.11825815588235855,0.05962717533111572,0.47977781295776367,0.25591129064559937,0.056940970942378044,1.0,0.0052083334885537624,0.078125,0.05729166666666667,0.48090171813964844,0.027023508213460445,0.40983395278453827,0.5203019380569458,0.0,0.0,0.4744621813297272,0.03040822222828865,0.3948470652103424,0.5225039124488831,0.0,0.0
16,0.6707574427127838,0.6843719482421875,0.6571429073810577,0.730991780757904,0.5069000422954559,0.48150746524333954,0.027629142627120018,-0.07400406897068024,0.48309141397476196,0.12374139949679375,0.054586898535490036,0.4412098377943039,0.24512210488319397,0.05750804953277111,1.0,0.0,0.04166666604578495,0.020833333333333332,0.47548146545886993,0.029637771658599377,0.3944999426603317,0.5227839350700378,0.0,0.0,0.4661542475223541,0.03606674447655678,0.3730694353580475,0.5282607674598694,0.0,0.0
17,0.6692444086074829,0.6793511211872101,0.6591376960277557,0.7292574048042297,0.5090728402137756,0.48229268193244934,0.036332366056740284,-0.07085943967103958,0.48508691787719727,0.11785248667001724,0.09446743875741959,0.4336550831794739,0.22420808672904968,0.06484682112932205,1.0,0.0,0.03125,0.026041666666666664,0.46760547161102295,0.034694064408540726,0.37680384516716003,0.5272637009620667,0.0,0.0,0.457950621843338,0.041453711688518524,0.35268035531044006,0.5326913595199585,0.0,0.0
