step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g,real_mean,real_std,real_min,real_max,real_near_zero_frac,real_near_one_frac,real_clip_frac,fake_d_mean,fake_d_std,fake_d_min,fake_d_max,fake_d_near_zero_frac,fake_d_near_one_frac,fake_g_mean,fake_g_std,fake_g_min,fake_g_max,fake_g_near_zero_frac,fake_g_near_one_frac
1,0.696068286895752,0.6332313418388367,0.5307836532592773,0.5308797955513,0.5309066772460938,0.07993315160274506,0.0054648322984576225,0.40129172801971436,0.237574502825737,0.028051599860191345,1.0,0.02083333395421505,0.0416666679084301,0.03125,0.50991290807724,0.01988069899380207,0.46897026896476746,0.5398298501968384,0.0,0.0,0.5109895467758179,0.01937459222972393,0.47221633791923523,0.540509819984436,0.0,0.0
2,0.6947146058082581,0.6371987462043762,0.5298511981964111,0.5287787318229675,0.5288040637969971,0.0792088508605957,0.005226784851402044,0.41898873448371887,0.24269512295722961,0.056392040103673935,1.0,0.0,0.0416666679084301,0.010416666666666666,0.5108811855316162,0.01928246021270752,0.47183769941329956,0.538547933101654,0.0,0.0,0.5119103789329529,0.01895497739315033,0.47226250171661377,0.5357854962348938,0.0,0.0
3,0.6927515268325806,0.6404664516448975,0.529688835144043,0.5270067453384399,0.5270868539810181,0.07419803738594055,0.006542476825416088,0.4584336578845978,0.24316909909248352,0.059128161519765854,1.0,0.0,0.02083333395421505,0.010416666666666666,0.5114867091178894,0.01897324062883854,0.4721760153770447,0.5387541651725769,0.0,0.0,0.5133203864097595,0.019801614806056023,0.4731040596961975,0.5384280681610107,0.0,0.0
4,0.6928330063819885,0.6428954005241394,0.5283074975013733,0.5257795453071594,0.5258100032806396,0.08250119537115097,0.006479464005678892,0.46702173352241516,0.27178776264190674,0.036491699516773224,1.0,0.02083333395421505,0.0625,0.03125,0.5129213929176331,0.019736381247639656,0.472078800201416,0.5375561118125916,0.0,0.0,0.5135213732719421,0.020486265420913696,0.4729425311088562,0.5369976758956909,0.0,0.0
5,0.6932673454284668,0.6443350315093994,0.526807427406311,0.5250219702720642,0.5250385999679565,0.0892815962433815,0.005298682488501072,0.4409622251987457,0.2434893399477005,0.07156243920326233,1.0,0.0,0.0416666679084301,0.03125,0.5140525698661804,0.02051413804292679,0.4734615981578827,0.5417753458023071,0.0,0.0,0.5139327049255371,0.020680932328104973,0.47203320264816284,0.5382090210914612,0.0,0.0
6,0.6928924322128296,0.6473613977432251,0.5255903601646423,0.5234132409095764,0.5234525203704834,0.08849172294139862,0.005213595926761627,0.37118101119995117,0.21780003607273102,0.02644621953368187,1.0,0.03125,0.02083333395421505,0.020833333333333332,0.5143163800239563,0.020399805158376694,0.4746226668357849,0.5375996828079224,0.0,0.0,0.5152634382247925,0.020910412073135376,0.475125789642334,0.5408725142478943,0.0,0.0
7,0.691942036151886,0.650614321231842,0.524692177772522,0.5217404365539551,0.5217657089233398,0.08460796624422073,0.006483399774879217,0.42264652252197266,0.22609807550907135,0.029079940170049667,1.0,0.03125,0.0416666679084301,0.020833333333333332,0.5148894190788269,0.0211073849350214,0.4750342071056366,0.5396655797958374,0.0,0.0,0.5149838328361511,0.02143924869596958,0.47454994916915894,0.5408406853675842,0.0,0.0
8,0.6910303831100464,0.6527543663978577,0.5242173671722412,0.520604133605957,0.5206544399261475,0.07648637890815735,0.007033079396933317,0.3782927989959717,0.20487268269062042,0.04468752071261406,1.0,0.010416666977107525,0.03125,0.010416666666666666,0.5152743458747864,0.021296393126249313,0.47684457898139954,0.5406007766723633,0.0,0.0,0.5151730179786682,0.022568045184016228,0.4747278392314911,0.5459967851638794,0.0,0.0
9,0.6913411617279053,0.6546039581298828,0.5228451490402222,0.5196394920349121,0.5196823477745056,0.07545322924852371,0.005989863071590662,0.4595471918582916,0.24270275235176086,0.036491699516773224,1.0,0.010416666977107525,0.0520833320915699,0.041666666666666664,0.515468955039978,0.022141030058264732,0.47527846693992615,0.5429719090461731,0.0,0.0,0.5149047374725342,0.0229855477809906,0.475410133600235,0.5453312397003174,0.0,0.0
10,0.6900067925453186,0.656895101070404,0.5228577256202698,0.5184496641159058,0.5184979438781738,0.07770717144012451,0.0064482479356229305,0.46025457978248596,0.23693911731243134,0.03809778019785881,1.0,0.010416666977107525,0.03125,0.010416666666666666,0.5148965120315552,0.022656245157122612,0.4737861752510071,0.5431121587753296,0.0,0.0,0.5142571330070496,0.023649051785469055,0.47561612725257874,0.5482534170150757,0.0,0.0
