step,loss,score_mean,score_std,w_l0_q0_RX,w_l0_q0_RY,w_l0_q0_RZ,w_l0_q1_RX,w_l0_q1_RY,w_l0_q1_RZ,w_l0_q2_RX,w_l0_q2_RY,w_l0_q2_RZ,w_l0_q3_RX,w_l0_q3_RY,w_l0_q3_RZ,w_l0_q4_RX,w_l0_q4_RY,w_l0_q4_RZ,w_l0_q5_RX,w_l0_q5_RY,w_l0_q5_RZ,w_l1_q0_RX,w_l1_q0_RY,w_l1_q0_RZ,w_l1_q1_RX,w_l1_q1_RY,w_l1_q1_RZ,w_l1_q2_RX,w_l1_q2_RY,w_l1_q2_RZ,w_l1_q3_RX,w_l1_q3_RY,w_l1_q3_RZ,w_l1_q4_RX,w_l1_q4_RY,w_l1_q4_RZ,w_l1_q5_RX,w_l1_q5_RY,w_l1_q5_RZ
1,0.22069664368938746,0.5349203233546905,0.06631393731018025,0.03107143972892076,-0.08658659648129757,0.0750485405415076,0.09563800807451037,-0.17898725532818865,-0.1303970804653225,0.012677899170055391,-0.02646678129271335,-0.0016043016848718515,-0.08698234081179229,0.09726235882522216,0.07738270249139659,0.0066809725636186625,0.11308469999253849,0.047047018597667606,-0.08713281270893583,0.028322929625367643,-0.0989798078864039,0.08784503013072725,-0.004992591098625298,-0.018486236354526057,-0.0706775619805305,0.15594874318549085,-0.015452948206880215,-0.044064706884471866,-0.036096156984396346,0.05323091855533488,0.03592360896863528,0.03250720708028093,0.043082100300788274,0.21971123678291898,-0.04151958080278243,-0.051224272907153735,-0.08303178047523306,0.06134796075875252,0.11289722927208917
2,0.2557545295274225,0.4968122006066035,0.050562518972139765,0.03173073419952044,-0.09532483435922198,0.07509716003697167,0.09918756684603232,-0.17908839125908355,-0.12971988367139056,0.012698108185284395,-0.02593592476081884,-0.0013578310050109312,-0.08818017658174013,0.08487843115375257,0.07853223512912959,0.006456890884079627,0.11162273891528603,0.046982162600086905,-0.08994473170208353,0.03486239331648682,-0.09883842292066287,0.08784503013072725,-0.004992591098625299,-0.018486236354526057,-0.07417372029591106,0.1715401520747825,-0.015452948206880215,-0.0442771966292642,-0.036953065657588643,0.05323091855533488,0.03877900868876614,0.022390629822350447,0.043082100300788274,0.22472828444051518,-0.04247177024580449,-0.051224272907153735,-0.08464514653193914,0.06066195705777167,0.11289722927208917
3,0.22943114779051332,0.5357752160640069,0.11801058426906055,0.03180341051910873,-0.09340416460939938,0.0752444189251956,0.09881497305015,-0.17107780531668357,-0.12924757111637727,0.012899613806767561,-0.020150161012058892,-0.0012950409558451466,-0.08841670095169321,0.08362976038149376,0.0778592912813941,0.006560691215487984,0.11186346000642239,0.04690976874856252,-0.09072375676282174,0.03595715598501459,-0.0981511686382873,0.08784503013072725,-0.0049925910986253,-0.018486236354526057,-0.07392756464368828,0.18462680247734597,-0.015452948206880214,-0.043526404446545625,-0.03717124245499199,0.05323091855533488,0.03932567891895576,0.028033877889697148,0.043082100300788274,0.2246041665406487,-0.042333578640868466,-0.051224272907153735,-0.08477745238049596,0.04962297616108459,0.11289722927208917
4,0.24051485978168574,0.5152833522015913,0.07459645681447612,0.032121328092797115,-0.08122989149667031,0.07513198055664345,0.09981615908231178,-0.1568076221767244,-0.13030333433619992,0.012895938223249023,-0.018967792081549327,-0.001131942131752537,-0.09021571562075385,0.13396724007228875,0.0764876109185181,0.00633106118350747,0.11106149362949976,0.04711132799629958,-0.0922363513947821,0.03598237627040942,-0.09928164976725609,0.08784503013072725,-0.004992591098625297,-0.018486236354526057,-0.07548610653454525,0.1569922477446833,-0.015452948206880214,-0.04210499536087046,-0.037959737934320455,0.05323091855533488,0.039006366837771096,0.027677144490842073,0.043082100300788274,0.22902167252901862,-0.04300323341664779,-0.051224272907153735,-0.0863971326602927,0.055018666938990254,0.11289722927208917
5,0.23459322039470226,0.5214560087281483,0.07475873893332736,0.032457204196027406,-0.10470025314369281,0.07518049805695907,0.09901630497831572,-0.16047838228938127,-0.13051507962294173,0.013038511231002796,-0.019826175853294967,-0.0009240309047360872,-0.09218738032205542,0.14595241471032103,0.07612698499163566,0.006287043356793232,0.11280605867326218,0.04722253765680481,-0.094287211053144,0.04107558500337717,-0.09997866119690998,0.08784503013072725,-0.004992591098625302,-0.018486236354526057,-0.07355237327098021,0.16269101700795602,-0.015452948206880215,-0.044437418806219486,-0.03788232017445532,0.05323091855533488,0.038921357627723065,0.0025410176695073797,0.043082100300788274,0.23222200378364527,-0.043413251213943245,-0.051224272907153735,-0.08766010699388455,0.04882055300831429,0.11289722927208917
6,0.22654735500945278,0.530391966761763,0.0775606237346959,0.032326163657140715,-0.10438855564659791,0.07521425783685637,0.09824040260885795,-0.17838094764445575,-0.13019377104822352,0.01309346326608603,-0.019958015067247252,-0.0007624112809441829,-0.09175237042939507,0.13873559251235051,0.07617895441233938,0.005805641267348132,0.11311024305660022,0.0474219169196483,-0.09249458461928682,0.01970490092130026,-0.09646612805976712,0.08784503013072725,-0.0049925910986253035,-0.018486236354526057,-0.07106094372399316,0.14794394637431732,-0.015452948206880215,-0.04639422785975902,-0.037618422845486166,0.05323091855533488,0.03651192969506644,0.0039026702313577862,0.043082100300788274,0.22882287238008453,-0.04322388384914513,-0.051224272907153735,-0.0870535939288342,0.04585915777216263,0.11289722927208917
7,0.21678422241770057,0.5461025320744499,0.10373674009365749,0.03300093665589757,-0.1194350754455987,0.07522245615561524,0.10033530684769444,-0.17329983742688929,-0.13075732450744942,0.012972499423451935,-0.016109965955547763,-0.0006472917385327825,-0.09383445631423191,0.14706140851530247,0.0758094738723761,0.0058203279705964,0.11273618517809417,0.04741047518757687,-0.09689678131601574,0.023299226250631935,-0.0971470376065271,0.08784503013072725,-0.004992591098625302,-0.018486236354526057,-0.073099310823084,0.13420392270424428,-0.015452948206880215,-0.046697011850725605,-0.03829997903386665,0.05323091855533488,0.037909557273495126,0.026710466854826226,0.043082100300788274,0.2349736221263936,-0.04402057587344055,-0.051224272907153735,-0.08899753459721889,0.03457152040056535,0.11289722927208917
8,0.23639263945200292,0.5182996642697129,0.06601080400755843,0.03363539488311035,-0.1062650038722041,0.07519659571627062,0.10205897962271326,-0.15395310545161864,-0.13118790953903278,0.013136082368994701,-0.014501120541897936,-0.0006191896138823388,-0.09642982097410895,0.16769069819126098,0.07491657404878381,0.00549892882655078,0.11260764094879261,0.047701137017439804,-0.10044448211405028,0.06369415700153402,-0.09300094192714975,0.08784503013072725,-0.004992591098625299,-0.018486236354526057,-0.07474083670768827,0.12820910810256667,-0.015452948206880215,-0.046514443130391776,-0.03884197167774692,0.05323091855533488,0.03788429427169168,0.0057715269419759685,0.043082100300788274,0.23943221136869292,-0.044990747071433336,-0.051224272907153735,-0.09127528830458748,0.02928548541037183,0.11289722927208917
9,0.2469960702272674,0.5064498717122705,0.05834673376830362,0.03406053201492438,-0.10877385257318223,0.07521024006760962,0.10345674580628389,-0.16592206629562994,-0.1299188879064102,0.013160718845354807,-0.013835191049369727,-0.0005132501014013531,-0.09803824609752364,0.16131390541246735,0.07419072409071995,0.005500275964167677,0.1132081297642245,0.04790608245194459,-0.10256833503451818,0.07549247667600663,-0.09485285929744924,0.08784503013072725,-0.004992591098625297,-0.01848623635452606,-0.07283186640345671,0.1300628188478348,-0.015452948206880214,-0.04724220678649114,-0.03945538563978296,0.05323091855533488,0.03821738051965369,0.014118855983782359,0.043082100300788274,0.24352087805412553,-0.04580373515287272,-0.051224272907153735,-0.09196054893123544,0.03913671634292172,0.11289722927208917
10,0.24539631190192807,0.5053972913028795,0.027649099384892857,0.03428154846571812,-0.08529681101278165,0.07515712967308241,0.1045887794277758,-0.1643873900466738,-0.13143697317009143,0.013133831181354711,-0.015538687774714375,-0.0004981204641946565,-0.09766596688731358,0.1519751756239855,0.07404667393390642,0.005529118807283331,0.11350106069806622,0.047909510006573924,-0.09786240822372831,0.05505081837953904,-0.09013000022609485,0.08784503013072725,-0.004992591098625295,-0.018486236354526057,-0.07597111086718746,0.10458333224337883,-0.015452948206880214,-0.04791726828556947,-0.03985304412508122,0.05323091855533488,0.03596147616271648,0.02577219430952532,0.043082100300788274,0.24138455872545195,-0.04649256838676595,-0.051224272907153735,-0.0927248612147547,0.04879192791123616,0.11289722927208917
