step,loss,score_mean,score_std,w_l0_q0_RX,w_l0_q1_RX,w_l0_q2_RX,w_l0_q3_RX,w_l0_q4_RX,w_l0_q5_RX,w_l0_q0_RY,w_l0_q1_RY,w_l0_q2_RY,w_l0_q3_RY,w_l0_q4_RY,w_l0_q5_RY,w_l1_q0_RX,w_l1_q1_RX,w_l1_q2_RX,w_l1_q3_RX,w_l1_q4_RX,w_l1_q5_RX,w_l1_q0_RY,w_l1_q1_RY,w_l1_q2_RY,w_l1_q3_RY,w_l1_q4_RY,w_l1_q5_RY
1,0.24724351392108374,0.5044944408847734,0.041445808644950906,0.1520896539562856,-0.5196732964464342,0.37535168804260416,0.4702538941072459,-0.9766534954533403,-0.6502845305662763,0.06301178155983647,-0.15931074958831817,-0.008809991434421896,-0.42632198364856916,0.4399055192314074,0.386983468832009,0.03301534878060802,0.5627274844738615,0.2341283731875064,-0.43042218959362527,0.18535164527488399,-0.4790029467856283,0.43922515065363626,-0.02554042443082397,-0.09215473782500351,-0.34057081076939155,0.6116464220799271,-0.07718410387187088
2,0.24822594583061086,0.5026648718538896,0.02972736770601807,0.15116910986809592,-0.5194001309957519,0.37354922593325934,0.4706367034911471,-0.9771390237465098,-0.6501320713716159,0.06223447752021347,-0.16051950693209022,-0.009409779637433311,-0.42457135756878234,0.44047913437037584,0.3834905829242336,0.03301534878060802,0.5606295161634067,0.23274667986810116,-0.4292956732458094,0.1867423472822358,-0.47921595095659353,0.43922515065363626,-0.024089332615193092,-0.09307557286109797,-0.3395934803049274,0.6118674380444559,-0.07641889891489374
3,0.24541893449112842,0.5064592189560675,0.04285361341931824,0.1506237465991783,-0.5184381325105947,0.37140159635292164,0.470934745311066,-0.9775849649193548,-0.6484549883601147,0.06144492311045529,-0.16232773965575092,-0.010945161548846958,-0.42502914548175225,0.44000395081446864,0.3827001429918961,0.03301534878060802,0.5577508298300737,0.2334117449535755,-0.42868616652576863,0.18764848485152844,-0.47763368513747867,0.43922515065363626,-0.022567929324497894,-0.09477302361246659,-0.33910628500351114,0.6137086690652385,-0.0767500395785339
4,0.2378422571410016,0.5132619588894652,0.030468618523379922,0.15112539503544323,-0.5187190096835826,0.37009636552566627,0.4700637205608681,-0.978484843942205,-0.6478325500959182,0.05986152848251255,-0.1614937124113426,-0.01504681917113693,-0.4255216760765005,0.43920015676426527,0.37976067380371153,0.03301534878060802,0.556131756844654,0.2319278480597997,-0.42951616690942324,0.18870016968741585,-0.47702168412825563,0.43922515065363626,-0.022951900359862946,-0.0952139712255813,-0.3423695648546845,0.6146507083732542,-0.07585419601347083
5,0.24853747987044045,0.5019462181993228,0.021906860866436017,0.1507036397966195,-0.5193336057542846,0.3697776044074264,0.4700005350324123,-0.9790337529365927,-0.6470795066095991,0.05576178423311105,-0.1614959244390498,-0.017641390058247854,-0.42536188649562007,0.4390674134946075,0.3761462484333676,0.03301534878060802,0.5562185884990944,0.23156525100227948,-0.4296332205917545,0.1904061219184767,-0.4764029027249172,0.43922515065363626,-0.022939112012376448,-0.0956825862425062,-0.3416887143676101,0.6146993893759398,-0.07634352243340815
6,0.2384385085401432,0.5122523364285788,0.023253504234877837,0.15097002077481805,-0.5197780808839052,0.3680771964392029,0.4701542276108233,-0.9804940381288519,-0.6466440490222994,0.05593837859715293,-0.16274379870973887,-0.01879100215224528,-0.42579219353286524,0.43875091986142706,0.3725117621361757,0.03301534878060802,0.5538692695520586,0.22983709095650498,-0.429467703579796,0.191481930753057,-0.4758421999450116,0.43922515065363626,-0.021345937857314198,-0.09489646507895144,-0.3421940749984584,0.6148988710746224,-0.07568168144380587
7,0.24057674817389602,0.5104847264900192,0.030847129767962913,0.14996525977261935,-0.5200026880375301,0.36756368687910135,0.4707068579174555,-0.9817081305058486,-0.6458623750319372,0.05454685303488882,-0.163068194441334,-0.019328132277906467,-0.42714341740315453,0.43911235110320973,0.37094200461955634,0.03301534878060802,0.5535741106829194,0.23077482375157513,-0.42852634423016933,0.19210383620539914,-0.4744585194655886,0.43922515065363626,-0.020903981682922596,-0.0957846732398018,-0.34287453447558935,0.6151472775043747,-0.07604163391730766
8,0.2402458629927848,0.5110927555762574,0.03486501947530762,0.14975062754904184,-0.5198037305733563,0.3671500107590798,0.4702047392886481,-0.9828326687425927,-0.6460754121763467,0.05480566350333386,-0.1645177048803956,-0.019333203606859365,-0.42672339768888723,0.4390714937007167,0.3659864019706415,0.03301534878060802,0.5531258840825366,0.2296359292266628,-0.42810282188761006,0.19328632485155223,-0.4756519317125978,0.43922515065363626,-0.01856200270207937,-0.09431871370526125,-0.34276746075191683,0.6148298159735879,-0.07575924856950736
9,0.24813069568097584,0.5022984294801733,0.020587438675188113,0.14880359911746371,-0.519968375773202,0.36620104378013896,0.47081499588588716,-0.9831275647688278,-0.6465278826934114,0.054545356237087755,-0.16531987936324516,-0.02143099735181285,-0.4273896389864753,0.4386316017531991,0.3617304727989112,0.03301534878060802,0.5513488614829515,0.22940110699514726,-0.42790391743717304,0.19520444960548117,-0.4762659551998069,0.43922515065363626,-0.01927970102733771,-0.09421147952709792,-0.34187328073864753,0.6155212131019501,-0.07674395463640857
10,0.2513348543819549,0.4988374526864019,0.013075006823528494,0.148125156019624,-0.5196827151921147,0.36580171558061914,0.47090617774694327,-0.9830372512306246,-0.6460453807125887,0.053969171020164894,-0.1655792638235842,-0.022636166628801673,-0.4285746703664986,0.43906778155862125,0.35896028570815797,0.03301534878060802,0.5510746449910645,0.22869898164531224,-0.4275962380896865,0.1965286828628847,-0.4755186964347935,0.43922515065363626,-0.018429811458881333,-0.09320009751072061,-0.34495085700697514,0.6145606285279829,-0.0771276394263188
11,0.23823962717105984,0.5142803408771199,0.04812525481337979,0.14688668966995447,-0.5201919965825729,0.36467936615403307,0.47052587622461073,-0.9845326276875166,-0.6455809874221571,0.053907580574640956,-0.1665616861465795,-0.0232009176670849,-0.4282306553659367,0.43941367306571383,0.3535416394329049,0.03301534878060802,0.5497319985352341,0.22760339279728514,-0.42779587382973294,0.1984269005666606,-0.4754217803561213,0.43922515065363626,-0.018429283593753974,-0.09199158510160475,-0.34467419242718683,0.6165041623616663,-0.0762595085994804
12,0.24067197252301425,0.5103624280087764,0.030447017230356258,0.14553978564997558,-0.519159307082692,0.36388014355802295,0.47017879494663345,-0.9846248126144963,-0.6461752973258432,0.05219309426229885,-0.16601328543238342,-0.02413495062950827,-0.42890334915522704,0.43903177321826903,0.3523030699738329,0.03301534878060802,0.5483462091250504,0.2272000706256175,-0.42731882400417637,0.19848398277892607,-0.4738807325492279,0.43922515065363626,-0.01846825429465788,-0.09096446842484164,-0.3457167420400475,0.6177461925941178,-0.07503737957330193
13,0.2479650544510155,0.5032369489762781,0.03451848543293346,0.1457047176022918,-0.5187968854809679,0.3634481211575859,0.47042834736566924,-0.9850565165971976,-0.6430711933622648,0.052037586252786844,-0.16744525494325885,-0.02671043075680061,-0.4301016096159816,0.43846008451707896,0.34952798105108324,0.03301534878060802,0.5475676561955094,0.2270479085241802,-0.42700818712988436,0.20076468777174566,-0.47238367424482036,0.43922515065363626,-0.01734493092700065,-0.09117891628678414,-0.34614206974593387,0.6176463398150484,-0.073462608669078
14,0.23347387448553772,0.5193798785523811,0.04978125730320222,0.14558173020802395,-0.5189832947108902,0.36254094718930746,0.47062235185337625,-0.9859122823958957,-0.6429231920702806,0.05232832229169604,-0.16851630952682528,-0.027449453194860137,-0.4309836555329389,0.4382156975461214,0.34528084432884576,0.03301534878060802,0.5472202082062497,0.22738883239351898,-0.4266277313736071,0.20205978349802034,-0.4723711143008498,0.43922515065363626,-0.018633026997826922,-0.09225891666484605,-0.3465494285323991,0.6179604209891619,-0.07574783107112086
15,0.23635985599701725,0.5171519191276487,0.05672377835850174,0.14499178168266189,-0.5197293826354767,0.3613797599019592,0.4701890506355065,-0.9864137823573362,-0.6436930743044224,0.05108121622322776,-0.17012350860294034,-0.027701029310075717,-0.4309359689125112,0.4392013826211078,0.3409004251778683,0.03301534878060802,0.546034497740951,0.22682320116766502,-0.42720131202168443,0.20389308355778418,-0.47271223033199883,0.43922515065363626,-0.018941669597691117,-0.0904046480479344,-0.3456637099729874,0.6175185206601951,-0.07611197301130536
